Id,SurveyId,HAEntityId,ComponentId,Component,ComponentOther,Perc,Type
273258,57148,890412,1128,For Entering Orders,,51-75%,Active
273259,57148,890412,1129,For Electronic Signatures,,76-100%,Active
273260,57148,890412,1130,For Clinical Documentation Charting,,51-75%,Active
273261,57148,890412,1137,Bill Payment,,,Consumer Active
273262,57148,890412,1138,Access to Diagnostic Tests,,,Consumer Active
273263,57148,890412,1139,Personal Health Record (PHR),,,Consumer Active
273264,57148,890413,1127,For Retrieving Diagnostic Results,,,Active
273265,57148,890413,1135,Pre-Registration,,,Consumer Active
273266,57148,890413,1137,Bill Payment,,,Consumer Active
273267,57148,890413,1138,Access to Diagnostic Tests,,,Consumer Active
273268,57148,890413,1139,Personal Health Record (PHR),,,Consumer Active
273269,57148,890414,1127,For Retrieving Diagnostic Results,,,Active
273270,57148,890414,1129,For Electronic Signatures,,,Active
273271,57148,890414,1135,Pre-Registration,,,Consumer Active
273272,57148,890414,1137,Bill Payment,,,Consumer Active
273273,57148,890414,1138,Access to Diagnostic Tests,,,Consumer Active
273274,57148,890414,1139,Personal Health Record (PHR),,,Consumer Active
286797,57148,890415,1130,For Clinical Documentation Charting,,26-50%,Active
286798,57148,890415,1129,For Electronic Signatures,,76-100%,Active
286799,57148,890415,1128,For Entering Orders,,76-100%,Active
286800,57148,890415,1127,For Retrieving Diagnostic Results,,76-100%,Active
286801,57148,890415,1139,Personal Health Record (PHR),,,Consumer Active
286802,57148,890415,1138,Access to Diagnostic Tests,,,Consumer Active
286803,57148,890415,1137,Bill Payment,,,Consumer Active
273282,57148,890416,1137,Bill Payment,,,Consumer Active
273283,57148,890416,1138,Access to Diagnostic Tests,,,Consumer Active
273284,57148,890416,1139,Personal Health Record (PHR),,,Consumer Active
273285,57148,890417,1127,For Retrieving Diagnostic Results,,51-75%,Active
273286,57148,890417,1128,For Entering Orders,,51-75%,Active
273287,57148,890417,1129,For Electronic Signatures,,51-75%,Active
273288,57148,890417,1130,For Clinical Documentation Charting,,51-75%,Active
273289,57148,890417,1135,Pre-Registration,,,Consumer Active
273290,57148,890417,1136,Scheduling,,,Consumer Active
273291,57148,890417,1137,Bill Payment,,,Consumer Active
273292,57148,890417,1138,Access to Diagnostic Tests,,,Consumer Active
273293,57148,890417,1139,Personal Health Record (PHR),,,Consumer Active
273294,57148,890418,1127,For Retrieving Diagnostic Results,,26-50%,Active
273295,57148,890418,1128,For Entering Orders,,26-50%,Active
273296,57148,890418,1129,For Electronic Signatures,,26-50%,Active
273297,57148,890418,1135,Pre-Registration,,,Consumer Active
273298,57148,890418,1137,Bill Payment,,,Consumer Active
273299,57148,890418,1138,Access to Diagnostic Tests,,,Consumer Active
273300,57148,890418,1139,Personal Health Record (PHR),,,Consumer Active
273301,57149,890681,1127,For Retrieving Diagnostic Results,,51-75%,Active
273302,57149,890681,1129,For Electronic Signatures,,1-25%,Active
273303,57149,890681,1130,For Clinical Documentation Charting,,26-50%,Active
273304,57149,890681,1135,Pre-Registration,,,Consumer Active
273305,57149,890681,1136,Scheduling,,,Consumer Active
273306,57149,890681,1137,Bill Payment,,,Consumer Active
273307,57149,890681,1138,Access to Diagnostic Tests,,,Consumer Active
273308,57149,890681,1139,Personal Health Record (PHR),,,Consumer Active
273309,57149,890682,1127,For Retrieving Diagnostic Results,,51-75%,Active
273310,57149,890682,1128,For Entering Orders,,1-25%,Active
273311,57149,890682,1129,For Electronic Signatures,,1-25%,Active
273312,57149,890682,1130,For Clinical Documentation Charting,,1-25%,Active
273313,57149,890682,1135,Pre-Registration,,,Consumer Active
273314,57149,890682,1136,Scheduling,,,Consumer Active
273315,57149,890682,1137,Bill Payment,,,Consumer Active
273316,57149,890682,1138,Access to Diagnostic Tests,,,Consumer Active
273317,57149,890682,1139,Personal Health Record (PHR),,,Consumer Active
273318,57149,890683,1127,For Retrieving Diagnostic Results,,51-75%,Active
273319,57149,890683,1129,For Electronic Signatures,,1-25%,Active
273320,57149,890683,1130,For Clinical Documentation Charting,,1-25%,Active
273321,57149,890683,1135,Pre-Registration,,,Consumer Active
273322,57149,890683,1136,Scheduling,,,Consumer Active
273323,57149,890683,1137,Bill Payment,,,Consumer Active
273324,57149,890683,1138,Access to Diagnostic Tests,,,Consumer Active
273325,57149,890683,1139,Personal Health Record (PHR),,,Consumer Active
273326,57149,890684,1127,For Retrieving Diagnostic Results,,51-75%,Active
273327,57149,890684,1128,For Entering Orders,,1-25%,Active
273328,57149,890684,1129,For Electronic Signatures,,1-25%,Active
273329,57149,890684,1130,For Clinical Documentation Charting,,1-25%,Active
273330,57149,890684,1135,Pre-Registration,,,Consumer Active
273331,57149,890684,1136,Scheduling,,,Consumer Active
273332,57149,890684,1137,Bill Payment,,,Consumer Active
273333,57149,890684,1138,Access to Diagnostic Tests,,,Consumer Active
273334,57149,890684,1139,Personal Health Record (PHR),,,Consumer Active
273335,57149,890685,1127,For Retrieving Diagnostic Results,,51-75%,Active
273336,57149,890685,1128,For Entering Orders,,1-25%,Active
273337,57149,890685,1129,For Electronic Signatures,,1-25%,Active
273338,57149,890685,1130,For Clinical Documentation Charting,,1-25%,Active
273339,57149,890685,1135,Pre-Registration,,,Consumer Active
273340,57149,890685,1136,Scheduling,,,Consumer Active
273341,57149,890685,1137,Bill Payment,,,Consumer Active
273342,57149,890685,1138,Access to Diagnostic Tests,,,Consumer Active
273343,57149,890685,1139,Personal Health Record (PHR),,,Consumer Active
273344,57149,890686,1127,For Retrieving Diagnostic Results,,51-75%,Active
273345,57149,890686,1128,For Entering Orders,,1-25%,Active
273346,57149,890686,1129,For Electronic Signatures,,1-25%,Active
273347,57149,890686,1130,For Clinical Documentation Charting,,1-25%,Active
273348,57149,890686,1136,Scheduling,,,Consumer Active
273349,57149,890686,1137,Bill Payment,,,Consumer Active
273350,57149,890686,1138,Access to Diagnostic Tests,,,Consumer Active
273351,57149,890686,1139,Personal Health Record (PHR),,,Consumer Active
273352,57149,890687,1127,For Retrieving Diagnostic Results,,51-75%,Active
273353,57149,890687,1129,For Electronic Signatures,,1-25%,Active
273354,57149,890687,1130,For Clinical Documentation Charting,,1-25%,Active
273355,57149,890687,1135,Pre-Registration,,,Consumer Active
273356,57149,890687,1136,Scheduling,,,Consumer Active
273357,57149,890687,1137,Bill Payment,,,Consumer Active
273358,57149,890687,1138,Access to Diagnostic Tests,,,Consumer Active
273359,57149,890687,1139,Personal Health Record (PHR),,,Consumer Active
273360,57149,890688,1127,For Retrieving Diagnostic Results,,51-75%,Active
273361,57149,890688,1128,For Entering Orders,,1-25%,Active
273362,57149,890688,1129,For Electronic Signatures,,1-25%,Active
273363,57149,890688,1130,For Clinical Documentation Charting,,1-25%,Active
273364,57149,890688,1135,Pre-Registration,,,Consumer Active
273365,57149,890688,1136,Scheduling,,,Consumer Active
273366,57149,890688,1137,Bill Payment,,,Consumer Active
273367,57149,890688,1138,Access to Diagnostic Tests,,,Consumer Active
273368,57149,890688,1139,Personal Health Record (PHR),,,Consumer Active
273369,57149,890689,1127,For Retrieving Diagnostic Results,,51-75%,Active
273370,57149,890689,1129,For Electronic Signatures,,1-25%,Active
273371,57149,890689,1130,For Clinical Documentation Charting,,1-25%,Active
273372,57149,890689,1135,Pre-Registration,,,Consumer Active
273373,57149,890689,1136,Scheduling,,,Consumer Active
273374,57149,890689,1137,Bill Payment,,,Consumer Active
273375,57149,890689,1138,Access to Diagnostic Tests,,,Consumer Active
273376,57149,890689,1139,Personal Health Record (PHR),,,Consumer Active
273377,57149,890690,1127,For Retrieving Diagnostic Results,,,Active
273378,57149,890690,1128,For Entering Orders,,,Active
273379,57149,890690,1129,For Electronic Signatures,,,Active
273380,57149,890690,1130,For Clinical Documentation Charting,,,Active
273381,57149,890690,1135,Pre-Registration,,,Consumer Active
273382,57149,890690,1136,Scheduling,,,Consumer Active
273383,57149,890690,1137,Bill Payment,,,Consumer Active
273384,57149,890690,1138,Access to Diagnostic Tests,,,Consumer Active
273385,57149,890690,1139,Personal Health Record (PHR),,,Consumer Active
273386,57149,890691,1127,For Retrieving Diagnostic Results,,51-75%,Active
273387,57149,890691,1128,For Entering Orders,,1-25%,Active
273388,57149,890691,1129,For Electronic Signatures,,1-25%,Active
273389,57149,890691,1130,For Clinical Documentation Charting,,1-25%,Active
273390,57149,890691,1135,Pre-Registration,,,Consumer Active
273391,57149,890691,1136,Scheduling,,,Consumer Active
273392,57149,890691,1137,Bill Payment,,,Consumer Active
273393,57149,890691,1138,Access to Diagnostic Tests,,,Consumer Active
273394,57149,890691,1139,Personal Health Record (PHR),,,Consumer Active
273395,57149,890692,1127,For Retrieving Diagnostic Results,,51-75%,Active
273396,57149,890692,1128,For Entering Orders,,1-25%,Active
273397,57149,890692,1129,For Electronic Signatures,,1-25%,Active
273398,57149,890692,1130,For Clinical Documentation Charting,,1-25%,Active
273399,57149,890692,1135,Pre-Registration,,,Consumer Active
273400,57149,890692,1136,Scheduling,,,Consumer Active
273401,57149,890692,1137,Bill Payment,,,Consumer Active
273402,57149,890692,1138,Access to Diagnostic Tests,,,Consumer Active
273403,57149,890692,1139,Personal Health Record (PHR),,,Consumer Active
273404,57149,890693,1127,For Retrieving Diagnostic Results,,51-75%,Active
273405,57149,890693,1128,For Entering Orders,,1-25%,Active
273406,57149,890693,1129,For Electronic Signatures,,1-25%,Active
273407,57149,890693,1135,Pre-Registration,,,Consumer Active
273408,57149,890693,1136,Scheduling,,,Consumer Active
273409,57149,890693,1137,Bill Payment,,,Consumer Active
273410,57149,890693,1138,Access to Diagnostic Tests,,,Consumer Active
273411,57149,890693,1139,Personal Health Record (PHR),,,Consumer Active
273412,57149,890694,1127,For Retrieving Diagnostic Results,,51-75%,Active
273413,57149,890694,1128,For Entering Orders,,1-25%,Active
273414,57149,890694,1129,For Electronic Signatures,,1-25%,Active
273415,57149,890694,1130,For Clinical Documentation Charting,,1-25%,Active
273416,57149,890694,1135,Pre-Registration,,,Consumer Active
273417,57149,890694,1136,Scheduling,,,Consumer Active
273418,57149,890694,1137,Bill Payment,,,Consumer Active
273419,57149,890694,1138,Access to Diagnostic Tests,,,Consumer Active
273420,57149,890694,1139,Personal Health Record (PHR),,,Consumer Active
282056,57149,906732,1127,For Retrieving Diagnostic Results,,76-100%,Active
282057,57149,906732,1128,For Entering Orders,,76-100%,Active
282058,57149,906732,1129,For Electronic Signatures,,76-100%,Active
282059,57149,906732,1130,For Clinical Documentation Charting,,76-100%,Active
282060,57149,906732,1136,Scheduling,,,Consumer Active
282061,57149,906732,1137,Bill Payment,,,Consumer Active
282062,57149,906732,1138,Access to Diagnostic Tests,,,Consumer Active
282063,57149,906732,1139,Personal Health Record (PHR),,,Consumer Active
282064,57149,906733,1127,For Retrieving Diagnostic Results,,76-100%,Active
282065,57149,906733,1128,For Entering Orders,,76-100%,Active
282066,57149,906733,1129,For Electronic Signatures,,76-100%,Active
282067,57149,906733,1130,For Clinical Documentation Charting,,76-100%,Active
282068,57149,906733,1136,Scheduling,,,Consumer Active
282069,57149,906733,1137,Bill Payment,,,Consumer Active
282070,57149,906733,1138,Access to Diagnostic Tests,,,Consumer Active
282071,57149,906733,1139,Personal Health Record (PHR),,,Consumer Active
282072,57149,906734,1127,For Retrieving Diagnostic Results,,51-75%,Active
282073,57149,906734,1128,For Entering Orders,,51-75%,Active
282074,57149,906734,1129,For Electronic Signatures,,51-75%,Active
282075,57149,906734,1130,For Clinical Documentation Charting,,51-75%,Active
282076,57149,906734,1136,Scheduling,,,Consumer Active
282077,57149,906734,1137,Bill Payment,,,Consumer Active
282078,57149,906734,1138,Access to Diagnostic Tests,,,Consumer Active
282079,57149,906734,1139,Personal Health Record (PHR),,,Consumer Active
282080,57149,906735,1127,For Retrieving Diagnostic Results,,51-75%,Active
282081,57149,906735,1128,For Entering Orders,,51-75%,Active
282082,57149,906735,1129,For Electronic Signatures,,26-50%,Active
282083,57149,906735,1130,For Clinical Documentation Charting,,1-25%,Active
282084,57149,906735,1136,Scheduling,,,Consumer Active
282085,57149,906735,1137,Bill Payment,,,Consumer Active
282086,57149,906735,1138,Access to Diagnostic Tests,,,Consumer Active
282087,57149,906735,1139,Personal Health Record (PHR),,,Consumer Active
282088,57149,906736,1127,For Retrieving Diagnostic Results,,51-75%,Active
282089,57149,906736,1128,For Entering Orders,,51-75%,Active
282090,57149,906736,1129,For Electronic Signatures,,51-75%,Active
282091,57149,906736,1130,For Clinical Documentation Charting,,1-25%,Active
282092,57149,906736,1136,Scheduling,,,Consumer Active
282093,57149,906736,1137,Bill Payment,,,Consumer Active
282094,57149,906736,1138,Access to Diagnostic Tests,,,Consumer Active
282095,57149,906736,1139,Personal Health Record (PHR),,,Consumer Active
282096,57149,906737,1127,For Retrieving Diagnostic Results,,76-100%,Active
282097,57149,906737,1128,For Entering Orders,,76-100%,Active
282098,57149,906737,1129,For Electronic Signatures,,76-100%,Active
282099,57149,906737,1130,For Clinical Documentation Charting,,76-100%,Active
282100,57149,906737,1136,Scheduling,,,Consumer Active
282101,57149,906737,1137,Bill Payment,,,Consumer Active
282102,57149,906737,1138,Access to Diagnostic Tests,,,Consumer Active
282103,57149,906737,1139,Personal Health Record (PHR),,,Consumer Active
282104,57149,906738,1127,For Retrieving Diagnostic Results,,76-100%,Active
282105,57149,906738,1128,For Entering Orders,,76-100%,Active
282106,57149,906738,1129,For Electronic Signatures,,76-100%,Active
282107,57149,906738,1130,For Clinical Documentation Charting,,1-25%,Active
282108,57149,906738,1136,Scheduling,,,Consumer Active
282109,57149,906738,1137,Bill Payment,,,Consumer Active
282110,57149,906738,1138,Access to Diagnostic Tests,,,Consumer Active
282111,57149,906738,1139,Personal Health Record (PHR),,,Consumer Active
282112,57149,906739,1127,For Retrieving Diagnostic Results,,76-100%,Active
282113,57149,906739,1128,For Entering Orders,,76-100%,Active
282114,57149,906739,1129,For Electronic Signatures,,1-25%,Active
282115,57149,906739,1130,For Clinical Documentation Charting,,76-100%,Active
282116,57149,906739,1136,Scheduling,,,Consumer Active
282117,57149,906739,1137,Bill Payment,,,Consumer Active
282118,57149,906739,1138,Access to Diagnostic Tests,,,Consumer Active
282119,57149,906739,1139,Personal Health Record (PHR),,,Consumer Active
282120,57149,906740,1127,For Retrieving Diagnostic Results,,76-100%,Active
282121,57149,906740,1128,For Entering Orders,,76-100%,Active
282122,57149,906740,1129,For Electronic Signatures,,76-100%,Active
282123,57149,906740,1130,For Clinical Documentation Charting,,76-100%,Active
282124,57149,906740,1136,Scheduling,,,Consumer Active
282125,57149,906740,1137,Bill Payment,,,Consumer Active
282126,57149,906740,1138,Access to Diagnostic Tests,,,Consumer Active
282127,57149,906740,1139,Personal Health Record (PHR),,,Consumer Active
282128,57149,906741,1127,For Retrieving Diagnostic Results,,51-75%,Active
282129,57149,906741,1128,For Entering Orders,,51-75%,Active
282130,57149,906741,1129,For Electronic Signatures,,51-75%,Active
282131,57149,906741,1130,For Clinical Documentation Charting,,1-25%,Active
282132,57149,906741,1136,Scheduling,,,Consumer Active
282133,57149,906741,1137,Bill Payment,,,Consumer Active
282134,57149,906741,1138,Access to Diagnostic Tests,,,Consumer Active
282135,57149,906741,1139,Personal Health Record (PHR),,,Consumer Active
282136,57149,906742,1127,For Retrieving Diagnostic Results,,1-25%,Active
282137,57149,906742,1128,For Entering Orders,,,Active
282138,57149,906742,1129,For Electronic Signatures,,,Active
282139,57149,906742,1130,For Clinical Documentation Charting,,,Active
282140,57149,906742,1136,Scheduling,,,Consumer Active
282141,57149,906742,1137,Bill Payment,,,Consumer Active
282142,57149,906742,1138,Access to Diagnostic Tests,,,Consumer Active
282143,57149,906742,1139,Personal Health Record (PHR),,,Consumer Active
273421,57150,890814,1127,For Retrieving Diagnostic Results,,76-100%,Active
273422,57150,890814,1128,For Entering Orders,,51-75%,Active
273423,57150,890814,1130,For Clinical Documentation Charting,,51-75%,Active
273424,57151,890817,1127,For Retrieving Diagnostic Results,,76-100%,Active
273425,57151,890817,1129,For Electronic Signatures,,76-100%,Active
273426,57151,890817,1138,Access to Diagnostic Tests,,,Consumer Active
273427,57151,890817,1139,Personal Health Record (PHR),,,Consumer Active
276874,57151,890818,1129,For Electronic Signatures,,76-100%,Active
276875,57151,890818,1128,For Entering Orders,,76-100%,Active
276876,57151,890818,1127,For Retrieving Diagnostic Results,,76-100%,Active
276877,57151,890818,1139,Personal Health Record (PHR),,,Consumer Active
276878,57151,890818,1138,Access to Diagnostic Tests,,,Consumer Active
273433,57151,890819,1127,For Retrieving Diagnostic Results,,,Active
273434,57151,890819,1128,For Entering Orders,,,Active
273435,57151,890819,1129,For Electronic Signatures,,,Active
273436,57151,890819,1138,Access to Diagnostic Tests,,,Consumer Active
273437,57151,890819,1139,Personal Health Record (PHR),,,Consumer Active
284466,57152,890844,1139,Personal Health Record (PHR),,,Consumer Active
284467,57152,890844,1138,Access to Diagnostic Tests,,,Consumer Active
284468,57152,890844,1136,Scheduling,,,Consumer Active
284498,57152,890845,1139,Personal Health Record (PHR),,,Consumer Active
284499,57152,890845,1138,Access to Diagnostic Tests,,,Consumer Active
284500,57152,890845,1136,Scheduling,,,Consumer Active
284492,57152,890846,1139,Personal Health Record (PHR),,,Consumer Active
284493,57152,890846,1138,Access to Diagnostic Tests,,,Consumer Active
284494,57152,890846,1136,Scheduling,,,Consumer Active
284471,57152,890847,1139,Personal Health Record (PHR),,,Consumer Active
284472,57152,890847,1138,Access to Diagnostic Tests,,,Consumer Active
284473,57152,890847,1136,Scheduling,,,Consumer Active
284495,57152,890848,1139,Personal Health Record (PHR),,,Consumer Active
284496,57152,890848,1138,Access to Diagnostic Tests,,,Consumer Active
284497,57152,890848,1136,Scheduling,,,Consumer Active
284617,57153,890899,1130,For Clinical Documentation Charting,,76-100%,Active
284618,57153,890899,1129,For Electronic Signatures,,76-100%,Active
284619,57153,890899,1128,For Entering Orders,,76-100%,Active
284620,57153,890899,1127,For Retrieving Diagnostic Results,,76-100%,Active
273457,57153,890899,1138,Access to Diagnostic Tests,,,Consumer Active
273458,57153,890899,1139,Personal Health Record (PHR),,,Consumer Active
285321,57153,901114,1130,For Clinical Documentation Charting,,76-100%,Active
285322,57153,901114,1129,For Electronic Signatures,,76-100%,Active
285323,57153,901114,1128,For Entering Orders,,76-100%,Active
285324,57153,901114,1127,For Retrieving Diagnostic Results,,76-100%,Active
285325,57153,901114,1139,Personal Health Record (PHR),,,Consumer Active
285326,57153,901114,1138,Access to Diagnostic Tests,,,Consumer Active
285327,57153,901114,1135,Pre-Registration,,,Consumer Active
284587,57154,890903,1130,For Clinical Documentation Charting,,26-50%,Active
284588,57154,890903,1129,For Electronic Signatures,,76-100%,Active
284589,57154,890903,1128,For Entering Orders,,76-100%,Active
284590,57154,890903,1127,For Retrieving Diagnostic Results,,76-100%,Active
284591,57154,890903,1139,Personal Health Record (PHR),,,Consumer Active
284592,57154,890903,1138,Access to Diagnostic Tests,,,Consumer Active
284593,57154,890903,1136,Scheduling,,,Consumer Active
284594,57154,890903,1135,Pre-Registration,,,Consumer Active
284875,57155,890913,1130,For Clinical Documentation Charting,,1-25%,Active
284876,57155,890913,1129,For Electronic Signatures,,76-100%,Active
284877,57155,890913,1128,For Entering Orders,,51-75%,Active
284878,57155,890913,1127,For Retrieving Diagnostic Results,,76-100%,Active
284879,57155,890913,1139,Personal Health Record (PHR),,,Consumer Active
284880,57155,890913,1138,Access to Diagnostic Tests,,,Consumer Active
284881,57155,890913,1137,Bill Payment,,,Consumer Active
284804,57156,890929,1139,Personal Health Record (PHR),,,Consumer Active
284805,57156,890929,1138,Access to Diagnostic Tests,,,Consumer Active
273474,57156,890929,1127,For Retrieving Diagnostic Results,,76-100%,Active
273475,57156,890929,1128,For Entering Orders,,26-50%,Active
273476,57156,890929,1129,For Electronic Signatures,,51-75%,Active
273477,57156,890929,1130,For Clinical Documentation Charting,,1-25%,Active
284951,57157,890937,1139,Personal Health Record (PHR),,,Consumer Active
284952,57157,890937,1138,Access to Diagnostic Tests,,,Consumer Active
284945,57158,890940,1130,For Clinical Documentation Charting,,51-75%,Active
284946,57158,890940,1129,For Electronic Signatures,,51-75%,Active
284947,57158,890940,1128,For Entering Orders,,76-100%,Active
284948,57158,890940,1127,For Retrieving Diagnostic Results,,76-100%,Active
284949,57158,890940,1139,Personal Health Record (PHR),,,Consumer Active
284950,57158,890940,1138,Access to Diagnostic Tests,,,Consumer Active
284476,57159,890951,1130,For Clinical Documentation Charting,,76-100%,Active
284477,57159,890951,1129,For Electronic Signatures,,76-100%,Active
284478,57159,890951,1128,For Entering Orders,,26-50%,Active
284479,57159,890951,1127,For Retrieving Diagnostic Results,,76-100%,Active
284480,57159,890951,1138,Access to Diagnostic Tests,,,Consumer Active
284481,57159,890951,1137,Bill Payment,,,Consumer Active
284482,57159,890951,1136,Scheduling,,,Consumer Active
284483,57159,890951,1135,Pre-Registration,,,Consumer Active
278759,57161,890971,1137,Bill Payment,,,Consumer Active
281930,57162,890977,1139,Personal Health Record (PHR),,,Consumer Active
281931,57162,890977,1137,Bill Payment,,,Consumer Active
283805,57163,890990,1130,For Clinical Documentation Charting,,76-100%,Active
283806,57163,890990,1129,For Electronic Signatures,,76-100%,Active
283807,57163,890990,1128,For Entering Orders,,76-100%,Active
283808,57163,890990,1127,For Retrieving Diagnostic Results,,76-100%,Active
283809,57163,890990,1139,Personal Health Record (PHR),,,Consumer Active
283810,57163,890990,1138,Access to Diagnostic Tests,,,Consumer Active
283811,57163,890990,1136,Scheduling,,,Consumer Active
283812,57163,890990,1135,Pre-Registration,,,Consumer Active
284882,57164,891032,1130,For Clinical Documentation Charting,,1-25%,Active
284883,57164,891032,1127,For Retrieving Diagnostic Results,,1-25%,Active
278720,57165,891037,1139,Personal Health Record (PHR),,,Consumer Active
278721,57165,891037,1138,Access to Diagnostic Tests,,,Consumer Active
278722,57165,891037,1137,Bill Payment,,,Consumer Active
277891,57166,891044,1139,Personal Health Record (PHR),,,Consumer Active
277892,57166,891044,1138,Access to Diagnostic Tests,,,Consumer Active
277893,57166,891044,1137,Bill Payment,,,Consumer Active
286025,57167,891049,1139,Personal Health Record (PHR),,,Consumer Active
286026,57167,891049,1138,Access to Diagnostic Tests,,,Consumer Active
286027,57167,891049,1135,Pre-Registration,,,Consumer Active
273524,57168,891065,1127,For Retrieving Diagnostic Results,,76-100%,Active
273525,57168,891065,1128,For Entering Orders,,76-100%,Active
273526,57168,891065,1129,For Electronic Signatures,,76-100%,Active
273527,57168,891065,1138,Access to Diagnostic Tests,,,Consumer Active
273528,57168,891065,1139,Personal Health Record (PHR),,,Consumer Active
